(mpi)

PROCESSES          8 on Quasar
NUM_GENERATIONS    2000
N                  2048
BOARD              2048/8 -> 256

generation,cells count,elapsed time (ms)
752,202219,15.5754
753,201734,10.3559
754,202012,11.8854
755,201973,14.0939
756,201905,11.5855
757,201582,11.8539
758,201565,11.2829
759,201063,11.5573
760,201503,11.1122
761,201033,11.4679
762,200840,11.0786
763,200007,18.8594
764,199805,20.4763
765,199240,24.8508
766,199021,21.4846
767,198881,15.0013
768,199265,12.5346
769,198497,11.5736
770,198904,11.4226
771,198739,11.8787
772,198444,12.126
773,198383,11.0757
774,198160,11.4412
775,198516,14.9276
776,198005,11.2987
777,198162,13.7086
778,198249,11.5683
779,198277,11.4665
780,198272,13.1652
781,197598,12.9635
782,197538,11.5428
783,197775,11.9462
784,197813,10.8943
785,198106,11.9429
786,197947,10.8829
787,197743,11.2035
788,197238,11.6434
789,197283,10.3741
790,197526,14.7378
791,197344,11.4586
792,197260,12.0342
793,196940,10.2398
794,197355,11.4536
795,197238,11.8732
796,197145,16.264
797,197129,19.3756
798,196866,11.5583
799,196114,11.0767
800,196759,11.1728
801,196609,13.2661
802,196681,10.6535
803,196396,11.2364
804,196280,11.071
805,196301,10.6518
806,196384,11.1694
807,196530,11.802
808,196364,16.654
809,196074,10.5474
810,196233,11.2839
811,195520,11.8029
812,195638,10.7553
813,195905,11.1518
814,195422,15.779
815,195789,12.6784
816,195467,16.0015
817,195421,10.3233
818,195529,14.9319
819,195237,10.9682
820,195093,12.6643
821,194197,11.2522
822,194560,11.564
823,194182,11.1434
824,194231,11.1916
825,194184,11.5998
826,194136,15.3453
827,193183,11.8034
828,193723,10.3273
829,193752,15.5277
830,194243,12.496
831,194125,11.04
832,194258,10.3898
833,194684,11.7037
834,195299,11.3513
835,194501,11.4882
836,195005,11.1074
837,194846,11.0805
838,194731,10.2515
839,194211,14.189
840,194077,14.3063
841,194443,12.0068
842,193863,11.4198
843,194015,11.029
844,194138,12.4562
845,194179,11.0564
846,194109,11.111
847,194403,10.8883
848,194440,10.3662
849,194262,11.5993
850,194517,11.0683
851,193930,15.3379
852,193907,11.003
853,193938,17.1046
854,193775,13.1648
855,193823,12.5651
856,193297,10.268
857,193779,13.0537
858,192971,13.247
859,193535,12.815
860,193149,10.5677
861,193297,14.2658
862,193109,13.9465
863,193102,12.5303
864,193183,13.0391
865,193038,14.0824
866,193098,11.5118
867,192775,13.2415
868,192884,13.788
869,192490,13.5744
870,192480,11.3785
871,192178,12.5432
872,192002,16.5055
873,192180,18.1968
874,192406,13.1364
875,193042,12.5008
876,192858,10.4561
877,193096,12.6746
878,192951,13.0482
879,193148,12.8198
880,192875,10.3416
881,192857,13.2792
882,192866,13.1037
883,192902,13.6855
884,192914,10.6189
885,192732,13.7773
886,192816,12.9666
887,192634,14.1351
888,192722,17.4599
889,192672,12.857
890,192619,10.4251
891,192901,11.8396
892,192692,13.2785
893,192643,10.6616
894,192146,12.5103
895,191881,13.73
896,192076,12.466
897,191506,13.4072
898,191887,14.6749
899,191639,13.6795
900,192292,12.1908
901,191921,11.2576
902,191798,10.2918
903,191532,11.7218
904,191540,11.8084
905,191148,10.2832
906,191262,11.1895
907,190819,11.5106
908,190664,10.3147
909,190466,11.189
910,190320,18.3828
911,190217,13.8993
912,189529,12.1448
913,189457,11.606
914,189235,11.0347
915,189142,10.7701
916,189620,10.4301
917,189095,11.2224
918,189688,10.9856
919,188875,10.6189
920,188823,10.8533
921,188066,11.6622
922,188778,12.9561
923,188033,12.0213
924,188116,11.0693
925,187870,10.3099
926,188154,12.203
927,188182,11.6088
928,188387,10.4325
929,187790,10.8907
930,188109,11.0915
931,187865,10.8862
932,188350,11.6415
933,188139,12.3215
934,188231,12.0044
935,187845,12.7532
936,187819,11.2166
937,187441,11.723
938,187380,10.7119
939,187130,11.2398
940,186771,11.096
941,186514,10.8533
942,186772,12.3522
943,186356,12.8839
944,186561,10.972
945,186481,10.7098
946,186583,12.712
947,186246,10.9885
948,186670,12.4238
949,186205,11.5066
950,185896,11.4918
951,185576,10.4611
952,185197,12.1706
953,185817,11.6277
954,185423,10.5231
955,185505,10.8221
956,185493,11.4505
957,185691,10.4733
958,185625,11.2069
959,185661,11.4965
960,186101,11.0245
961,185889,14.3898
962,185850,12.9197
963,185542,16.0449
964,185162,11.0013
965,185180,10.8306
966,184345,18.908
967,185115,11.5905
968,184624,11.2896
969,185032,12.45
970,184388,11.1001
971,184893,11.6835
972,184300,13.2623
973,184543,14.5419
974,184057,10.9847
975,184560,11.3482
976,184222,11.112
977,184167,11.2231
978,183637,11.8704
979,184126,13.4411
980,183763,17.0856
981,184019,12.681
982,183912,15.5838
983,183778,13.8879
984,183744,12.0356
985,183505,11.1892
986,183193,10.9072
987,183658,14.3321
988,183860,11.795
989,183506,12.6326
990,183199,10.6988
991,183582,11.4949
992,183431,11.7145
993,183701,10.4852
994,183605,10.942
995,183532,17.1707
996,183223,11.4582
997,183053,10.3474
998,183066,25.8684
999,183258,13.3889
1000,183016,11.4613
1001,183510,10.3512
1002,183351,13.6149
1003,183269,11.5771
1004,182875,11.4417
1005,183129,12.6224
1006,182808,11.189
1007,182612,10.3004
1008,182785,10.9174
1009,182615,11.986
1010,182693,10.2885
1011,182120,11.6999
1012,182855,11.065
1013,182265,12.9876
1014,182607,11.7908
1015,182522,11.9321
1016,182690,11.0209
1017,182160,10.5538
1018,182663,11.1907
1019,181798,11.2786
1020,182243,10.3562
1021,181900,13.8378
